id name Rista Advanced
id author Developer
uciok
info string Move b7c6 score -165
info string Move b8c6 score -90
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25000
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-25000
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=24 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-26000
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-26000
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-26000
DEBUG PST: piece=6 mat=20000 sq=24 is_add=0 material=-26000
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=24 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25100
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=44 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=45 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=46 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-25100
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=26 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=26 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=26 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=26 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-25200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25430
